com,label_actual,,,,,,,,,,,,,,,,,,,,
The matter pertains to the environment pollution with which #Current Court# are faced with today.,['Fact'],,,,,,,,,,,,,,,,,,,,
"Not only the air pollution is being caused unabettingly, but this Court are also faced with the pollution of rivers in the country.",['Fact'],,,,,,,,,,,,,,,,,,,,
"With respect to the pollution of rivers in the country been caused in Delhi and NCR, this Court while considering IA No. 127792 of 2017 has passed various orders and disposed of the application dated 29.1.2018 and while taking up the matter relating to the aforesaid Interlocutory Application on 14.10.2019 required the MoE, #respondants# to submit 14.10.2019 response along with a status report.",['Fact'],,,,,,,,,,,,,,,,,,,,
The matter was thereafter listed on 4.11.2019.,['Other'],,,,,,,,,,,,,,,,,,,,
Report No. 106 was filed by EPCA with respect to pollution in hotspots in Delhi and NCR regions.,['Other'],,,,,,,,,,,,,,,,,,,,
Following order was passed by this Court on 4.11.2019:,['Fact'],,,,,,,,,,,,,,,,,,,,
"We have heard Mr. Bhurelal, who has pointed out about irrigation.",['Fact'],,,,,,,,,,,,,,,,,,,,
We have also heard some experts from the Ministry and the IIT and learned senior Counsel for the parties and#amicus#.,['Fact'],,,,,,,,,,,,,,,,,,,,
Today everyone is concerned about level of pollution in Delhi and NCR region.,['Other'],,,,,,,,,,,,,,,,,,,,
"This is not something new, every year this kind of piquant situation arises for a substantial period.",['Other'],,,,,,,,,,,,,,,,,,,,
"This is compounded by the fact that year to year in spite of various directions issued by High Court, other authorities including this Court the State Governments, Government of NCT of Delhi and the corporations of Delhi and nearby States are not performing the corporations of Delhi and nearby States duties as enjoined upon the corporations of Delhi and nearby States.",['Fact'],,,,,,,,,,,,,,,,,,,,
This is a shocking state of affairs in which #Current Court# are put as on today.,['Fact'],,,,,,,,,,,,,,,,,,,,
This is blatant and grave violation of right to life of the sizeable population by all these actions and the scientific data which has been pointed out indicates that life span of the people is being reduced by this kind of pollution which is being created and that people are being advised not to come back to Delhi or to leave Delhi Delhi due to severe pollution condition which has been created.,['Fact'],,,,,,,,,,,,,,,,,,,,
There cannot be large scale exodus.,['Other'],,,,,,,,,,,,,,,,,,,,
People have to perform People duty in Delhi also and people cannot be evacuated from Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
"#Current Court# are at a loss to understand why #Current Court# are not able to create a situation in which this kind of pollution does not take place, that too in a routine manner every year.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Obviously, it is writ large that the State Governments, Government of NCT of Delhi and civic bodies have miserably failed to discharge the State Governments, Government of NCT of Delhi and civic bodies liability as per the directive principles of State Policy which have found statutory expression, the State Governments, Government of NCT of Delhi and civic bodies are being made statutory mockery and also the directions of this Court and High Courts in this regard are being violated with impunity.",['Fact'],,,,,,,,,,,,,,,,,,,,
Time has come when #Current Court# have to fix the accountability for this kind of situation which has arisen and is destroying Right to Life itself in gross violation of Article 21 of the Constitution of #respondants#.,['Fact'],,,,,,,,,,,,,,,,,,,,
"No farmer can be said to be having a right under the guise that No farmer is not having sufficient time to use the stubble for the purpose of manure, since manure have less time between two crops, cutting and sowing of next crop.",['Other'],,,,,,,,,,,,,,,,,,,,
"As such, manure cannot by burning it in manure fields, put life of sizeable population in jeopardy.",['Other'],,,,,,,,,,,,,,,,,,,,
It is apparent from the satellite images which have been produced before #Current Court# for the period 30.10.2019 to 04.11.2019.,['Fact'],,,,,,,,,,,,,,,,,,,,
"The satellite image clearly indicates that in Punjab there is widespread stubble burning which has taken place as compared to Haryana, in which only in four districts Haryana has taken place.",['Other'],,,,,,,,,,,,,,,,,,,,
There is some burning in Western U.,['Other'],,,,,,,,,,,,,,,,,,,,
"P. also. some burning in Western U.P. also could not have taken place even in a singular district or gram panchayat area as #Current Court# live in a civilized country in which such kind of activities which create such menacing pollution not only in the area concerned but to the neighboring States also, by ill-effects of that people cannot be left to die or to suffer various ailments.",['Fact'],,,,,,,,,,,,,,,,,,,,
Everybody has to be answerable including the top state machinery percolating down to the level of gram panchayat.,['Other'],,,,,,,,,,,,,,,,,,,,
The very purpose of giving administration power up to the level of gram panchayat is that there has to be proper administration and there is no room for such activities.,['Other'],,,,,,,,,,,,,,,,,,,,
"The action is clearly tortuous one and is clearly punishable under statutory provisions, besides the violation of the Court's order.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
['Conclusion'],['Conclusion'],,,,,,,,,,,,,,,,,,,,
"#Current Court# direct the Chief Secretaries of the neighboring States of Punjab, Haryana and Uttar Pradesh to be present in the Court on 06.11.2019 including Chief Secretary of Government of NCT of Delhi.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"We direct the Chief Secretaries of the State Governments, District Collectors, Tehsildars, Director General, IG/SP and other police officers of the area of concerned police station and the entire police machinery to ensure that not even a single incident takes place of stubble burning henceforth.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"If it is found that any stubble burning has been made not only that person doing any stubble burning will be hauled up for the violation of the order passed by the Court but the entire administration, right from the Chief Secretary, Commissioner, Collector and all other concerned functionaries and Panchayats.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
Gram Pradhan/Sarpanch Panchayat are also directed to ensure that no such stubble burning takes place.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"Let the State Governments of Punjab, Haryana and Uttar Pradesh and officials also explain that why the State Governments of Punjab, Haryana and Uttar Pradesh and officials should not be asked to pay the compensation for tortious liability as the State Governments of Punjab, Haryana and Uttar Pradesh and officials have acquiesced and due to the State Governments of Punjab, Haryana and Uttar Pradesh and officials failure in preventing stubble burning which is in utter violation of the Public Trust doctrine, why the State Governments of Punjab, Haryana and Uttar Pradesh and officials should not be held liable to compensate, and also the incumbents who are burning the stubble in spite of clear restrictions imposed by this Court and statutory prohibition.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
We also direct the Sarpanch of each and every Panchayat and SHO of the concerned area to prepare inventory of the incumbents who have burnt the stubbles in their fields.,['Other'],,,,,,,,,,,,,,,,,,,,
"#Current Court# also direct the Sarpanch, Gram Panchayat as well as the concerned police of the area and local administration including the Collector and all subordinate authorities to ensure that no further stubble burning takes place.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"In case, any stubble burning takes place responsible machinery from top to bottom and Sarpanch, Gram Panchayat shall be liable for tortuous act and for not complying with the order passed by Court and let the Gram Panchayat also advise forthwith the villagers not to involve in stubble burning anymore and take appropriate action.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"We also direct the State Governments, #respondants# as well as the Government of NCT of Delhi to take immediate steps to take care of the emergent situation due to air pollution which has taken place.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"No doubt about it that everybody knows the situation, let immediate steps to take care of the emergent situation due to air pollution which has taken place be taken forthwith with the help of the experts.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
#Current Court# direct the Government of NCT of Delhi Delhi as well as various corporations to work in tandem and to see that waste and garbage which is contributing to air pollution is tackled at war level.,['Observation_finding'],,,,,,,,,,,,,,,,,,,,
The efforts should be made right from today without any loss of time.,['Other'],,,,,,,,,,,,,,,,,,,,
"Let the EPCA consider as the EPCA was suggested by Ms. Aprajita Singh, learned senior Counsel and the #amicus# that diesel vehicle should not enter DelhiDelhi.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
Let the EPCA immediately take immediate steps to take care of the emergent situation due to air pollution which has taken place in this regard as may be considered appropriate as the EPCA has the power to do the needful taking care of the emergent situation.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
With respect to demolition and construction activities #Current Court# direct that no demolition and construction activities take place in Delhi and NCR region.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"In case case is found that such activity is done, the local administration as well as the municipal authorities including the Zonal Commissioners, Deputy Zonal Commissioners shall be personally held responsible for all such activities.",['Other'],,,,,,,,,,,,,,,,,,,,
Deputy Zonal Commissioners have to act in furtherance of the Court's order and to ensure that no such activity takes place.,['Other'],,,,,,,,,,,,,,,,,,,,
We are informed that use of coal based industries have been stopped.,['Observation_finding'],,,,,,,,,,,,,,,,,,,,
In case any violation of this is found the concerned person including Zonal Deputy Commissioner would be liable for violation of the order of the Court and liable to be punished for contempt of the Court.,['Other'],,,,,,,,,,,,,,,,,,,,
"It was also pointed out by Mr. Sanjiv Sen, learned senior Counsel, that during odd/even scheme in Delhi more use of two wheelers and three wheelers has taken place and they are being plied more causing equal pollution, as such no useful purpose is being served by stopping the use of certain vehicles only on the basis of odd and even numbers.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
"He has also pointed out that it would be appropriate to stop the use of diesel vehicle, in case it is necessitated as the diesel vehicles cause more pollution as compared to petrol and CNG vehicles.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
Let the Government of NCT of Delhi explain this aspect and file the data in this regard in the Court on the basis of the previous experience and whether if three wheelers and taxies are plying more on road during such restriction and relevant data be placed.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
During Odd/Even Scheme what is the difference being caused by stopping use of four wheelers when various other contributory factors are not taken care of by Government of NCT of Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
